c_short,c_long,val1,val2
AUS,Australia,18.96,18.98
AUT,Austria,28.31,28.41
BEL,Belgium,30.87,30.68
CAN,Canada,17.18,16.96
CZE,Czech Republic,20.49,20.57
DNK,Denmark,30.18,30.14
FIN,Finland,30.55,31.04
FRA,France,31.95,31.88
DEU,Germany,25.58,25.8
GRC,Greece,24.29,24.0
HUN,Hungary,22.07,22.13
ISL,Iceland,17.1,16.51
IRL,Ireland,21.87,20.99
ITA,Italy,28.67,28.64
KOR,Korea,10.16,10.41
LUX,Luxembourg,23.4,23.54
NLD,Netherlands,24.55,24.74
NZL,New Zealand,20.75,0
NOR,Norway,22.03,22.03
POL,Poland,20.68,20.61
PRT,Portugal,25.81,25.21
SVK,Slovak Republic,18.66,18.36
ESP,Spain,27.32,26.77
SWE,Sweden,28.23,28.11
CHE,Switzerland,19.91,19.39
TUR,Turkey,12.47,0
GBR,United Kingdom,22.52,21.74
USA,United States,18.58,19.23
CHL,Chile,4.64,0
EST,Estonia,16.13,16.26
ISR,Israel,2.38,0
SVN,Slovenia,23.8,23.72
OECD,OECD - Total,21.73,21.64
