country,value,country2
AUS,18.982,Australia
AUT,28.414,Austria
BEL,30.685,Belgium
CAN,16.964,Canada
CHE,19.39,Switzerland
CZE,20.575,Czech Republic
DEU,25.795,Germany
DNK,30.14,Denmark
ESP,26.767,Spain
EST,16.26,Estonia
FIN,31.036,Finland
FRA,31.879,France
GBR,21.738,United Kingdom
GRC,24.003,Greece
HUN,22.127,Hungary
IRL,20.99,Ireland
ISL,16.506,Iceland
ITA,28.64,Italy
KOR,10.408,Korea
LUX,23.537,Luxembourg
NLD,24.736,Netherlands
NOR,22.03,Norway
POL,20.614,Poland
PRT,25.21,Portugal
SVK,18.359,Slovak Republic
SVN,23.717,Slovenia
SWE,28.112,Sweden
USA,19.225,United States
