year,total,aa,bb,cc,dd,ee,ff,gg,hh,ii
01-Jan-05,2349,119,147,562,520,524,326,67,60,24
01-Jan-06,2376,136,205,557,511,494,297,69,65,42
01-Jan-07,2597,110,257,662,514,514,365,58,79,38
01-Jan-08,2710,122,237,700,518,526,379,84,81,63
01-Jan-09,2778,122,287,670,538,540,388,87,87,59
01-Jan-10,2632,117,219,614,526,464,436,97,98,61
01-Jan-11,2396,98,201,535,461,431,399,101,99,71
01-Jan-12,2299,86,201,508,442,382,413,89,93,85
01-Jan-13,2482,149,176,531,463,418,437,109,99,100
01-Jan-14,2317,75,159,531,452,352,395,119,109,125
