지역,구분,합계,14세 이하,15~20세,21~30세,31~40세,41~50세,51~60세,61-64세,65~70세,71세이상
합계,사망자수,429,16,22,60,48,59,76,23,43,82
합계,부상자수,"59,718","2,680","4,540","12,775","12,073","12,088","9,837","2,141","2,085","1,499"
종로구,사망자수,19,-,-,-,3,4,4,1,2,5
종로구,부상자수,"2,009",51,111,431,427,414,370,65,81,59
중구,사망자수,7,-,-,2,1,-,1,1,1,1
중구,부상자수,"2,152",33,101,481,469,482,367,87,90,42
용산구,사망자수,15,-,-,2,3,2,3,2,-,3
용산구,부상자수,1738,54,88,374,407,338,290,72,54,61
성동구,사망자수,15,-,-,1,3,4,2,2,1,2
성동구,부상자수,1528,60,95,372,301,310,245,48,60,37
광진구,사망자수,17,2,1,3,4,1,2,-,2,2
광진구,부상자수,2212,104,159,522,439,450,351,68,62,57
동대문구,사망자수,25,-,2,2,1,2,7,-,4,7
동대문구,부상자수,2484,94,177,512,429,515,439,112,122,84
중랑구,사망자수,17,-,2,1,-,4,5,-,1,4
중랑구,부상자수,2841,161,309,491,543,552,486,97,103,99
성북구,사망자수,10,-,1,-,-,-,2,-,1,6
성북구,부상자수,2197,131,203,436,424,409,347,72,84,91
강북구,사망자수,16,1,2,2,-,2,3,1,4,1
강북구,부상자수,1780,85,166,358,322,346,279,94,72,58
도봉구,사망자수,11,-,1,2,-,1,2,-,2,3
도봉구,부상자수,1362,92,164,241,188,261,248,46,73,49
노원구,사망자수,25,-,3,2,1,3,5,3,2,6
노원구,부상자수,2434,149,255,437,444,523,402,70,94,60
은평구,사망자수,16,-,-,3,2,2,-,1,3,5
은평구,부상자수,2120,143,219,351,345,385,408,96,95,78
서대문구,사망자수,15,1,-,2,1,3,1,1,3,3
서대문구,부상자수,1719,95,138,363,318,345,278,63,68,51
마포구,사망자수,22,1,1,6,4,2,3,1,1,3
마포구,부상자수,2697,99,198,669,580,511,412,86,87,55
양천구,사망자수,12,-,1,3,1,2,2,-,1,2
양천구,부상자수,2070,137,196,348,393,473,339,71,65,48
강서구,사망자수,21,3,3,1,1,3,4,1,1,4
강서구,부상자수,2594,134,247,458,497,517,463,99,103,76
구로구,사망자수,14,-,1,4,2,2,1,2,1,1
구로구,부상자수,2270,97,172,449,455,492,383,95,69,58
금천구,사망자수,12,-,1,2,3,3,2,-,1,-
금천구,부상자수,1702,82,189,305,315,385,280,53,54,39
영등포구,사망자수,30,3,-,5,1,6,5,1,3,6
영등포구,부상자수,3348,132,213,738,722,697,530,137,107,72
동작구,사망자수,13,-,1,2,4,1,-,-,1,4
동작구,부상자수,1594,75,108,365,337,314,241,55,56,43
관악구,사망자수,16,1,-,1,3,1,1,2,2,5
관악구,부상자수,2632,117,219,614,526,464,436,97,98,61
서초구,사망자수,20,1,-,3,2,3,5,1,1,4
서초구,부상자수,3372,105,166,760,837,705,538,108,104,49
강남구,사망자수,31,1,1,8,4,5,8,1,3,-
강남구,부상자수,5176,124,205,1560,1278,999,701,152,105,52
송파구,사망자수,16,-,-,2,3,2,2,2,2,3
송파구,부상자수,3742,213,262,751,749,782,681,125,113,66
강동구,사망자수,14,2,1,1,1,1,6,-,-,2
강동구,부상자수,1945,113,180,389,328,419,323,73,66,54
