year	team	ave	teamnum
2005	?삼성	0.607	2
2005	?두산	0.585	1
2005	?SK	0.583	4
2005	?한화	0.512	5
2005	?롯데	0.464	7
2005	?LG	0.432	8
2005	?현대	0.431	3
2005	?KIA	0.392	6
2004	?현대	0.586	3
2004	?삼성	0.584	2
2004	?두산	0.53	1
2004	?KIA	0.523	6
2004	?SK	0.488	4
2004	?LG	0.457	8
2004	?한화	0.417	5
2004	?롯데	0.41	7
2003	?현대	0.611	3
2003	?SK	0.508	4
2003	?KIA	0.609	6
2003	?삼성	0.589	2
2003	?한화	0.492	5
2003	?LG	0.458	8
2003	?두산	0.435	1
2003	?롯데	0.3	7
2002	?삼성	0.636	2
2002	?LG	0.52	8
2002	?KIA	0.605	6
2002	?현대	0.547	3
2002	?두산	0.504	1
2002	?SK	0.469	4
2002	?한화	0.461	5
2002	?롯데	0.265	7
2001	?두산	0.508	1
2001	?삼성	0.609	2
2001	?현대	0.558	3
2001	?한화	0.473	5
2001	?KIA	0.469	6
2001	?LG	0.464	8
2001	?SK	0.458	4
2001	?롯데	0.457	7
2000	?LG	0.515	8
2000	?현대	0.695	3
2000	?롯데	0.504	7
2000	?두산	0.571	1
2000	?한화	0.391	5
2000	?삼성	0.539	2
2000	?SK	0.338	4
2000	?해태	0.442	6
1999	?한화	0.554	5
1999	?롯데	0.591	7
1999	?삼성	0.562	2
1999	?두산	0.598	1
1999	?LG	0.466	8
1999	?현대	0.535	3
1999	?쌍방울	0.224	9
1999	?해태	0.465	6
1998	?현대	0.643	3
1998	?LG	0.504	8
1998	?삼성	0.532	2
1998	?OB	0.496	1
1998	?해태	0.488	6
1998	?쌍방울	0.468	9
1998	?한화	0.455	5
1998	?롯데	0.41	7
1997	?해태	0.599	6
1997	?LG	0.587	8
1997	?쌍방울	0.571	9
1997	?삼성	0.552	2
1997	?OB	0.472	1
1997	?현대	0.421	3
1997	?한화	0.413	5
1997	?롯데	0.385	7
1996	?해태	0.587	6
1996	?현대	0.552	3
1996	?쌍방울	0.563	9
1996	?한화	0.56	5
1996	?롯데	0.476	7
1996	?삼성	0.448	2
1996	?LG	0.417	8
1996	?OB	0.397	1
