region,occurrence,deaths,injuries
Jongno-gu,101,3,190
Jung-gu,68,0,118
Yongsan-gu,98,1,178
Seongdong-gu,90,2,171
Gwangjin-gu,138,2,269
Dongdaemun-gu,129,3,212
Jungnang-gu,142,1,255
Seongbuk-gu,146,0,258
Gangbuk-gu,106,2,183
Dobong-gu,91,4,180
Nowon-gu,159,6,288
Eunpyeong-gu,110,2,190
Seodaemun-gu,85,3,156
Mapo-gu,166,2,315
Yangcheon-gu,149,1,261
Gangseo-gu,157,2,296
Guro-gu,148,1,263
Geumcheon-gu,97,0,178
Yeongdeungpo-gu,185,2,333
Dongjak-gu,95,0,164
Gwanak-gu,128,1,217
Seocho-gu,185,7,333
Gangnam-gu,418,2,813
Songpa-gu,219,1,396
Gangdong-gu,119,3,216
